,Parent,Child,ParentGeneName,ChildGeneName
1,ENSG00000001084,ENSG00000068878,GCLC,PSME4
2,ENSG00000001497,ENSG00000037474,LAS1L,NSUN2
3,ENSG00000002834,ENSG00000128340,LASP1,RAC2
4,ENSG00000002834,ENSG00000136653,LASP1,RASSF5
5,ENSG00000002834,ENSG00000134287,LASP1,ARF3
6,ENSG00000002834,ENSG00000198369,LASP1,SPRED2
7,ENSG00000002834,ENSG00000131966,LASP1,ACTR10
8,ENSG00000003056,ENSG00000143870,M6PR,PDIA6
9,ENSG00000003402,ENSG00000047578,CFLAR,KIAA0556
10,ENSG00000003402,ENSG00000264584,CFLAR,Metazoa_SRP
11,ENSG00000003402,ENSG00000234431,CFLAR,AC007283.5
12,ENSG00000003402,ENSG00000155380,CFLAR,SLC16A1
13,ENSG00000004534,ENSG00000135945,RBM6,REV1
14,ENSG00000005238,ENSG00000154035,FAM214B,C17orf103
15,ENSG00000005238,ENSG00000196998,FAM214B,WDR45
16,ENSG00000005812,ENSG00000117505,FBXL3,DR1
17,ENSG00000005812,ENSG00000196233,FBXL3,LCOR
18,ENSG00000005812,ENSG00000170802,FBXL3,FOXN2
19,ENSG00000006114,ENSG00000139990,SYNRG,DCAF5
20,ENSG00000006114,ENSG00000177494,SYNRG,ZBED2
21,ENSG00000006114,ENSG00000170379,SYNRG,FAM115C
22,ENSG00000006114,ENSG00000143322,SYNRG,ABL2
23,ENSG00000006634,ENSG00000100442,DBF4,FKBP3
24,ENSG00000007168,ENSG00000197024,PAFAH1B1,ZNF398
25,ENSG00000008382,ENSG00000212123,MPND,PRR22
26,ENSG00000008517,ENSG00000116824,IL32,CD2
27,ENSG00000008988,ENSG00000258704,RPS20,RP11-85K15.2
28,ENSG00000008988,ENSG00000234741,RPS20,GAS5
29,ENSG00000008988,ENSG00000106591,RPS20,MRPL32
30,ENSG00000008988,ENSG00000184602,RPS20,SNN
31,ENSG00000008988,ENSG00000142937,RPS20,RPS8
32,ENSG00000009307,ENSG00000166848,CSDE1,TERF2IP
33,ENSG00000009790,ENSG00000132680,TRAF3IP3,KIAA0907
34,ENSG00000009790,ENSG00000135821,TRAF3IP3,GLUL
35,ENSG00000009790,ENSG00000173436,TRAF3IP3,MINOS1
36,ENSG00000009790,ENSG00000269343,TRAF3IP3,ZNF587B
37,ENSG00000009790,ENSG00000231621,TRAF3IP3,AC013264.2
38,ENSG00000009790,ENSG00000074582,TRAF3IP3,BCS1L
39,ENSG00000009790,ENSG00000170634,TRAF3IP3,ACYP2
40,ENSG00000009790,ENSG00000147174,TRAF3IP3,ACRC
41,ENSG00000010295,ENSG00000078808,IFFO1,SDF4
42,ENSG00000010295,ENSG00000099337,IFFO1,KCNK6
43,ENSG00000010295,ENSG00000267169,IFFO1,CTB-55O6.12
44,ENSG00000010295,ENSG00000174672,IFFO1,BRSK2
45,ENSG00000010327,ENSG00000161944,STAB1,ASGR2
46,ENSG00000010327,ENSG00000187796,STAB1,CARD9
47,ENSG00000010327,ENSG00000095383,STAB1,TBC1D2
48,ENSG00000010327,ENSG00000250510,STAB1,GPR162
49,ENSG00000010610,ENSG00000071246,CD4,VASH1
50,ENSG00000010610,ENSG00000127666,CD4,TICAM1
51,ENSG00000010610,ENSG00000178623,CD4,GPR35
52,ENSG00000010671,ENSG00000143110,BTK,C1orf162
53,ENSG00000011132,ENSG00000146834,APBA3,MEPCE
54,ENSG00000011422,ENSG00000261804,PLAUR,RP11-44F14.2
55,ENSG00000011422,ENSG00000198736,PLAUR,MSRB1
56,ENSG00000011451,ENSG00000090581,WIZ,GNPTG
57,ENSG00000011451,ENSG00000074219,WIZ,TEAD2
58,ENSG00000012124,ENSG00000105369,CD22,CD79A
59,ENSG00000012124,ENSG00000105738,CD22,SIPA1L3
60,ENSG00000012124,ENSG00000165905,CD22,GYLTL1B
61,ENSG00000012124,ENSG00000133789,CD22,SWAP70
62,ENSG00000012124,ENSG00000247982,CD22,RP11-358M11.2
63,ENSG00000012124,ENSG00000167483,CD22,FAM129C
64,ENSG00000012124,ENSG00000163534,CD22,FCRL1
65,ENSG00000012124,ENSG00000082293,CD22,COL19A1
66,ENSG00000012124,ENSG00000230438,CD22,RP11-420G6.4
67,ENSG00000012124,ENSG00000196092,CD22,PAX5
68,ENSG00000013275,ENSG00000141543,PSMC4,EIF4A3
69,ENSG00000013288,ENSG00000268970,MAN2B2,CTD-3099C6.11
70,ENSG00000013288,ENSG00000140497,MAN2B2,SCAMP2
71,ENSG00000013288,ENSG00000173548,MAN2B2,SNX33
72,ENSG00000013374,ENSG00000079263,NUB1,SP140
73,ENSG00000015532,ENSG00000168350,XYLT2,DEGS2
74,ENSG00000015532,ENSG00000196365,XYLT2,LONP1
75,ENSG00000015532,ENSG00000213015,XYLT2,ZNF580
76,ENSG00000015532,ENSG00000245060,XYLT2,CTC-205M6.2
77,ENSG00000019582,ENSG00000104894,CD74,CD37
78,ENSG00000019582,ENSG00000204257,CD74,HLA-DMA
79,ENSG00000019582,ENSG00000129667,CD74,RHBDF2
80,ENSG00000020633,ENSG00000100385,RUNX3,IL2RB
81,ENSG00000020633,ENSG00000126001,RUNX3,CEP250
82,ENSG00000020633,ENSG00000101665,RUNX3,SMAD7
83,ENSG00000020633,ENSG00000132718,RUNX3,SYT11
84,ENSG00000020633,ENSG00000006555,RUNX3,TTC22
85,ENSG00000020633,ENSG00000159618,RUNX3,GPR114
86,ENSG00000020633,ENSG00000136213,RUNX3,CHST12
87,ENSG00000020633,ENSG00000073861,RUNX3,TBX21
88,ENSG00000020633,ENSG00000135362,RUNX3,PRR5L
89,ENSG00000020633,ENSG00000141458,RUNX3,NPC1
90,ENSG00000020633,ENSG00000151208,RUNX3,DLG5
91,ENSG00000020633,ENSG00000162104,RUNX3,ADCY9
92,ENSG00000021300,ENSG00000173567,PLEKHB1,GPR113
93,ENSG00000021300,ENSG00000142233,PLEKHB1,NTN5
94,ENSG00000027075,ENSG00000067141,PRKCH,NEO1
95,ENSG00000027075,ENSG00000178202,PRKCH,KDELC2
96,ENSG00000027075,ENSG00000010810,PRKCH,FYN
97,ENSG00000027075,ENSG00000198821,PRKCH,CD247
98,ENSG00000027075,ENSG00000119862,PRKCH,LGALSL
99,ENSG00000027075,ENSG00000163113,PRKCH,OTUD7B
100,ENSG00000027075,ENSG00000205045,PRKCH,SLFN12L
101,ENSG00000027075,ENSG00000006744,PRKCH,ELAC2
102,ENSG00000027075,ENSG00000065675,PRKCH,PRKCQ
103,ENSG00000029363,ENSG00000090989,BCLAF1,EXOC1
104,ENSG00000029363,ENSG00000165195,BCLAF1,PIGA
105,ENSG00000029363,ENSG00000166024,BCLAF1,R3HCC1L
106,ENSG00000029363,ENSG00000080345,BCLAF1,RIF1
107,ENSG00000029363,ENSG00000083896,BCLAF1,YTHDC1
108,ENSG00000029363,ENSG00000119707,BCLAF1,RBM25
109,ENSG00000029363,ENSG00000033178,BCLAF1,UBA6
110,ENSG00000029363,ENSG00000122545,BCLAF1,7-Sep
111,ENSG00000030066,ENSG00000053900,NUP160,ANAPC4
112,ENSG00000030066,ENSG00000163935,NUP160,SFMBT1
113,ENSG00000032219,ENSG00000099246,ARID4A,RAB18
114,ENSG00000032219,ENSG00000087502,ARID4A,ERGIC2
115,ENSG00000032219,ENSG00000101745,ARID4A,ANKRD12
116,ENSG00000032219,ENSG00000067900,ARID4A,ROCK1
117,ENSG00000032219,ENSG00000178057,ARID4A,NDUFAF3
118,ENSG00000032219,ENSG00000054267,ARID4A,ARID4B
119,ENSG00000032444,ENSG00000134030,PNPLA6,CTIF
120,ENSG00000032444,ENSG00000142327,PNPLA6,RNPEPL1
121,ENSG00000032444,ENSG00000131653,PNPLA6,TRAF7
122,ENSG00000032444,ENSG00000186187,PNPLA6,ZNRF1
123,ENSG00000036549,ENSG00000123124,ZZZ3,WWP1
124,ENSG00000036549,ENSG00000125962,ZZZ3,ARMCX5
125,ENSG00000036549,ENSG00000144451,ZZZ3,SPAG16
126,ENSG00000036549,ENSG00000186106,ZZZ3,ANKRD46
127,ENSG00000036549,ENSG00000196950,ZZZ3,SLC39A10
128,ENSG00000036549,ENSG00000109929,ZZZ3,SC5DL
129,ENSG00000036549,ENSG00000163608,ZZZ3,C3orf17
130,ENSG00000036549,ENSG00000174606,ZZZ3,ANGEL2
131,ENSG00000036549,ENSG00000167196,ZZZ3,FBXO22
132,ENSG00000036549,ENSG00000224078,ZZZ3,SNHG14
133,ENSG00000036549,ENSG00000074935,ZZZ3,TUBE1
134,ENSG00000036549,ENSG00000154511,ZZZ3,FAM69A
135,ENSG00000036549,ENSG00000198252,ZZZ3,STYX
136,ENSG00000036549,ENSG00000119965,ZZZ3,C10orf88
137,ENSG00000036549,ENSG00000180479,ZZZ3,ZNF571
138,ENSG00000036549,ENSG00000134987,ZZZ3,WDR36
139,ENSG00000036549,ENSG00000178338,ZZZ3,ZNF354B
140,ENSG00000036549,ENSG00000092439,ZZZ3,TRPM7
141,ENSG00000036549,ENSG00000127995,ZZZ3,CASD1
142,ENSG00000036549,ENSG00000156162,ZZZ3,DPY19L4
143,ENSG00000036549,ENSG00000196177,ZZZ3,ACADSB
144,ENSG00000036549,ENSG00000186020,ZZZ3,ZNF529
145,ENSG00000036549,ENSG00000188321,ZZZ3,ZNF559
146,ENSG00000036549,ENSG00000155636,ZZZ3,RBM45
147,ENSG00000036549,ENSG00000105176,ZZZ3,URI1
148,ENSG00000036549,ENSG00000198015,ZZZ3,MRPL42
149,ENSG00000036549,ENSG00000164930,ZZZ3,FZD6
150,ENSG00000036549,ENSG00000138095,ZZZ3,LRPPRC
151,ENSG00000036549,ENSG00000028203,ZZZ3,VEZT
152,ENSG00000037474,ENSG00000011143,NSUN2,MKS1
153,ENSG00000037474,ENSG00000167112,NSUN2,TRUB2
154,ENSG00000037637,ENSG00000101350,FBXO42,KIF3B
155,ENSG00000037749,ENSG00000119446,MFAP3,RBM18
156,ENSG00000037757,ENSG00000231584,MRI1,FAHD2CP
157,ENSG00000038427,ENSG00000138061,VCAN,CYP1B1
158,ENSG00000038427,ENSG00000151458,VCAN,ANKRD50
159,ENSG00000038427,ENSG00000165168,VCAN,CYBB
160,ENSG00000038427,ENSG00000178695,VCAN,KCTD12
161,ENSG00000038427,ENSG00000213876,VCAN,RPL7AP64
162,ENSG00000038427,ENSG00000226822,VCAN,RP11-356N1.2
163,ENSG00000038427,ENSG00000164023,VCAN,SGMS2
164,ENSG00000038427,ENSG00000164125,VCAN,FAM198B
165,ENSG00000038427,ENSG00000133105,VCAN,RXFP2
166,ENSG00000038532,ENSG00000171984,CLEC16A,C20orf196
167,ENSG00000038532,ENSG00000109685,CLEC16A,WHSC1
168,ENSG00000043143,ENSG00000105662,PHF15,CRTC1
169,ENSG00000043143,ENSG00000114554,PHF15,PLXNA1
170,ENSG00000043143,ENSG00000126882,PHF15,FAM78A
171,ENSG00000043143,ENSG00000157014,PHF15,TATDN2
172,ENSG00000043143,ENSG00000164818,PHF15,HEATR2
173,ENSG00000043143,ENSG00000185085,PHF15,INTS5
174,ENSG00000043143,ENSG00000197951,PHF15,ZNF71
175,ENSG00000043143,ENSG00000234616,PHF15,JRK
176,ENSG00000043143,ENSG00000213918,PHF15,DNASE1
177,ENSG00000043143,ENSG00000103150,PHF15,MLYCD
178,ENSG00000043143,ENSG00000143772,PHF15,ITPKB
179,ENSG00000043143,ENSG00000143851,PHF15,PTPN7
180,ENSG00000043143,ENSG00000186575,PHF15,NF2
181,ENSG00000043143,ENSG00000224383,PHF15,C17orf72
182,ENSG00000043143,ENSG00000019485,PHF15,PRDM11
183,ENSG00000043143,ENSG00000096433,PHF15,ITPR3
184,ENSG00000043143,ENSG00000101445,PHF15,PPP1R16B
185,ENSG00000043143,ENSG00000120314,PHF15,WDR55
186,ENSG00000043143,ENSG00000131381,PHF15,ZFYVE20
187,ENSG00000043143,ENSG00000107957,PHF15,SH3PXD2A
188,ENSG00000043143,ENSG00000133030,PHF15,MPRIP
189,ENSG00000043143,ENSG00000213380,PHF15,COG8
190,ENSG00000043143,ENSG00000181135,PHF15,ZNF707
191,ENSG00000043143,ENSG00000160953,PHF15,MUM1
192,ENSG00000043143,ENSG00000183655,PHF15,KLHL25
193,ENSG00000043143,ENSG00000181830,PHF15,SLC35C1
194,ENSG00000046651,ENSG00000148690,OFD1,FRA10AC1
195,ENSG00000046651,ENSG00000188613,OFD1,NANOS1
196,ENSG00000046651,ENSG00000225783,OFD1,MIAT
197,ENSG00000046651,ENSG00000125885,OFD1,MCM8
198,ENSG00000047578,ENSG00000204713,KIAA0556,TRIM27
199,ENSG00000048405,ENSG00000106299,ZNF800,WASL
200,ENSG00000048405,ENSG00000131375,ZNF800,CAPN7
201,ENSG00000048405,ENSG00000143756,ZNF800,FBXO28
202,ENSG00000048405,ENSG00000244462,ZNF800,RBM12
203,ENSG00000048405,ENSG00000151229,ZNF800,SLC2A13
204,ENSG00000048405,ENSG00000172667,ZNF800,ZMAT3
205,ENSG00000048405,ENSG00000198252,ZNF800,STYX
206,ENSG00000048405,ENSG00000096717,ZNF800,SIRT1
207,ENSG00000048405,ENSG00000011258,ZNF800,MBTD1
208,ENSG00000048991,ENSG00000186001,R3HDM1,LRCH3
209,ENSG00000048991,ENSG00000131725,R3HDM1,WDR44
210,ENSG00000049239,ENSG00000197063,H6PD,MAFG
211,ENSG00000049245,ENSG00000246082,VAMP3,NUDT16P
212,ENSG00000049245,ENSG00000090487,VAMP3,SPG21
213,ENSG00000051382,ENSG00000231993,PIK3CB,RP1-85F18.5
214,ENSG00000057704,ENSG00000139112,TMCC3,GABARAPL1
215,ENSG00000057704,ENSG00000163788,TMCC3,SNRK
216,ENSG00000057935,ENSG00000162894,MTA3,FAIM3
217,ENSG00000057935,ENSG00000153896,MTA3,ZNF599
218,ENSG00000058272,ENSG00000106799,PPP1R12A,TGFBR1
219,ENSG00000058272,ENSG00000148925,PPP1R12A,BTBD10
220,ENSG00000058272,ENSG00000169826,PPP1R12A,CSGALNACT2
221,ENSG00000058272,ENSG00000083937,PPP1R12A,CHMP2B
222,ENSG00000058272,ENSG00000116903,PPP1R12A,EXOC8
223,ENSG00000058272,ENSG00000178966,PPP1R12A,RMI1
224,ENSG00000058272,ENSG00000167363,PPP1R12A,FN3K
225,ENSG00000058272,ENSG00000247400,PPP1R12A,DNAJC3-AS1
226,ENSG00000058272,ENSG00000058063,PPP1R12A,ATP11B
227,ENSG00000058272,ENSG00000113163,PPP1R12A,COL4A3BP
228,ENSG00000058272,ENSG00000198060,PPP1R12A,5-Mar
229,ENSG00000059728,ENSG00000011422,MXD1,PLAUR
230,ENSG00000059728,ENSG00000139946,MXD1,PELI2
231,ENSG00000059728,ENSG00000170892,MXD1,TSEN34
232,ENSG00000059728,ENSG00000101265,MXD1,RASSF2
233,ENSG00000059728,ENSG00000106780,MXD1,MEGF9
234,ENSG00000059728,ENSG00000158470,MXD1,B4GALT5
235,ENSG00000059728,ENSG00000169891,MXD1,REPS2
236,ENSG00000059728,ENSG00000254087,MXD1,LYN
237,ENSG00000059728,ENSG00000130816,MXD1,DNMT1
238,ENSG00000059728,ENSG00000159128,MXD1,IFNGR2
239,ENSG00000059728,ENSG00000160588,MXD1,MPZL3
240,ENSG00000059728,ENSG00000170006,MXD1,TMEM154
241,ENSG00000059728,ENSG00000177125,MXD1,ZBTB34
242,ENSG00000059728,ENSG00000253981,MXD1,ALG1L13P
243,ENSG00000059804,ENSG00000099985,SLC2A3,OSM
244,ENSG00000063046,ENSG00000063177,EIF4B,RPL18
245,ENSG00000063046,ENSG00000089220,EIF4B,PEBP1
246,ENSG00000063176,ENSG00000177236,SPHK2,AP006621.1
247,ENSG00000063176,ENSG00000185122,SPHK2,HSF1
248,ENSG00000063177,ENSG00000178035,RPL18,IMPDH2
249,ENSG00000063177,ENSG00000204628,RPL18,GNB2L1
250,ENSG00000063177,ENSG00000140988,RPL18,RPS2
251,ENSG00000063177,ENSG00000233927,RPL18,RPS28
252,ENSG00000063177,ENSG00000167526,RPL18,RPL13
253,ENSG00000063177,ENSG00000184508,RPL18,HDDC3
254,ENSG00000063177,ENSG00000214113,RPL18,LYRM4
255,ENSG00000063244,ENSG00000073050,U2AF2,XRCC1
256,ENSG00000063244,ENSG00000071127,U2AF2,WDR1
257,ENSG00000063244,ENSG00000072778,U2AF2,ACADVL
258,ENSG00000063244,ENSG00000204351,U2AF2,SKIV2L
259,ENSG00000063244,ENSG00000107872,U2AF2,FBXL15
260,ENSG00000064201,ENSG00000110665,TSPAN32,C11orf21
261,ENSG00000064995,ENSG00000122692,TAF11,SMU1
262,ENSG00000064995,ENSG00000263568,TAF11,MIR3916
263,ENSG00000064995,ENSG00000264920,TAF11,RP11-6N17.4
264,ENSG00000066084,ENSG00000168016,DIP2B,TRANK1
265,ENSG00000066422,ENSG00000136108,ZBTB11,CKAP2
266,ENSG00000066422,ENSG00000138448,ZBTB11,ITGAV
267,ENSG00000066422,ENSG00000017260,ZBTB11,ATP2C1
268,ENSG00000066422,ENSG00000162688,ZBTB11,AGL
269,ENSG00000066654,ENSG00000147854,THUMPD1,UHRF2
270,ENSG00000066654,ENSG00000148835,THUMPD1,TAF5
271,ENSG00000066654,ENSG00000122550,THUMPD1,KLHL7
272,ENSG00000066654,ENSG00000132436,THUMPD1,FIGNL1
273,ENSG00000066654,ENSG00000198081,THUMPD1,ZFP161
274,ENSG00000066654,ENSG00000181450,THUMPD1,ZNF678
275,ENSG00000067141,ENSG00000143845,NEO1,ETNK2
276,ENSG00000067208,ENSG00000168172,EVI5,HOOK3
277,ENSG00000067334,ENSG00000080824,DNTTIP2,HSP90AA1
278,ENSG00000067334,ENSG00000151292,DNTTIP2,CSNK1G3
279,ENSG00000067533,ENSG00000197016,RRP15,ZNF470
280,ENSG00000068400,ENSG00000254503,GRIPAP1,CTD-2521M24.4
281,ENSG00000068400,ENSG00000110274,GRIPAP1,CEP164
282,ENSG00000068400,ENSG00000204642,GRIPAP1,HLA-F
283,ENSG00000069493,ENSG00000163607,CLEC2D,GTPBP8
284,ENSG00000069493,ENSG00000188092,CLEC2D,GPR89B
285,ENSG00000069493,ENSG00000133111,CLEC2D,RFXAP
286,ENSG00000069493,ENSG00000128654,CLEC2D,MTX2
287,ENSG00000069493,ENSG00000138134,CLEC2D,STAMBPL1
288,ENSG00000069493,ENSG00000213443,CLEC2D,NPM1P5
289,ENSG00000069493,ENSG00000234663,CLEC2D,AC104820.2
290,ENSG00000069493,ENSG00000189362,CLEC2D,TMEM194B
291,ENSG00000069493,ENSG00000153933,CLEC2D,DGKE
292,ENSG00000069493,ENSG00000174501,CLEC2D,ANKRD36C
293,ENSG00000069493,ENSG00000117020,CLEC2D,AKT3
294,ENSG00000069493,ENSG00000259976,CLEC2D,RP11-553L6.5
295,ENSG00000070047,ENSG00000076928,PHRF1,ARHGEF1
296,ENSG00000070047,ENSG00000100241,PHRF1,SBF1
297,ENSG00000070047,ENSG00000125746,PHRF1,EML2
298,ENSG00000070047,ENSG00000159363,PHRF1,ATP13A2
299,ENSG00000070047,ENSG00000180900,PHRF1,SCRIB
300,ENSG00000070047,ENSG00000204394,PHRF1,VARS
301,ENSG00000070047,ENSG00000234127,PHRF1,TRIM26
302,ENSG00000070047,ENSG00000065000,PHRF1,AP3D1
303,ENSG00000070047,ENSG00000103249,PHRF1,CLCN7
304,ENSG00000070047,ENSG00000157881,PHRF1,PANK4
305,ENSG00000070047,ENSG00000176438,PHRF1,SYNE3
306,ENSG00000070047,ENSG00000196235,PHRF1,SUPT5H
307,ENSG00000070047,ENSG00000078808,PHRF1,SDF4
308,ENSG00000070366,ENSG00000187239,SMG6,FNBP1
309,ENSG00000070366,ENSG00000170322,SMG6,NFRKB
310,ENSG00000070814,ENSG00000246922,TCOF1,UBAP1L
311,ENSG00000070961,ENSG00000258302,ATP2B1,RP11-981P6.1
312,ENSG00000071082,ENSG00000125691,RPL31,RPL23
313,ENSG00000071082,ENSG00000196683,RPL31,TOMM7
314,ENSG00000071082,ENSG00000161970,RPL31,RPL26
315,ENSG00000071082,ENSG00000171863,RPL31,RPS7
316,ENSG00000071082,ENSG00000109475,RPL31,RPL34
317,ENSG00000071082,ENSG00000164919,RPL31,COX6C
318,ENSG00000071243,ENSG00000055211,ING3,GINM1
319,ENSG00000071243,ENSG00000165813,ING3,C10orf118
320,ENSG00000071537,ENSG00000215513,SEL1L,PI4KAP1
321,ENSG00000073578,ENSG00000197451,SDHA,HNRNPAB
322,ENSG00000073578,ENSG00000260774,SDHA,CTD-2083E4.4
323,ENSG00000073578,ENSG00000179889,SDHA,PDXDC1
324,ENSG00000073921,ENSG00000119318,PICALM,RAD23B
325,ENSG00000073921,ENSG00000176978,PICALM,DPP7
326,ENSG00000073921,ENSG00000109458,PICALM,GAB1
327,ENSG00000074370,ENSG00000135439,ATP2A3,AGAP2
328,ENSG00000074370,ENSG00000175573,ATP2A3,C11orf68
329,ENSG00000074706,ENSG00000154127,IPCEF1,UBASH3B
330,ENSG00000075035,ENSG00000198722,WSCD2,UNC13B
331,ENSG00000075035,ENSG00000203780,WSCD2,FANK1
332,ENSG00000075240,ENSG00000090581,GRAMD4,GNPTG
333,ENSG00000075240,ENSG00000172500,GRAMD4,FIBP
334,ENSG00000075420,ENSG00000115694,FNDC3B,STK25
335,ENSG00000075420,ENSG00000261267,FNDC3B,RP11-44I10.3
336,ENSG00000075420,ENSG00000067798,FNDC3B,NAV3
337,ENSG00000075426,ENSG00000142405,FOSL2,NLRP12
338,ENSG00000076201,ENSG00000140854,PTPN23,KATNB1
339,ENSG00000076201,ENSG00000104859,PTPN23,CLASRP
340,ENSG00000076258,ENSG00000184719,FMO4,RNLS
341,ENSG00000076662,ENSG00000137331,ICAM3,IER3
342,ENSG00000076662,ENSG00000196411,ICAM3,EPHB4
343,ENSG00000076662,ENSG00000122547,ICAM3,EEPD1
344,ENSG00000076662,ENSG00000170558,ICAM3,CDH2
345,ENSG00000076928,ENSG00000160993,ARHGEF1,ALKBH4
346,ENSG00000076928,ENSG00000182872,ARHGEF1,RBM10
347,ENSG00000076928,ENSG00000142765,ARHGEF1,SYTL1
348,ENSG00000076928,ENSG00000168071,ARHGEF1,CCDC88B
349,ENSG00000076928,ENSG00000161091,ARHGEF1,MFSD12
350,ENSG00000077150,ENSG00000163874,NFKB2,ZC3H12A
351,ENSG00000077150,ENSG00000104856,NFKB2,RELB
352,ENSG00000078070,ENSG00000137338,MCCC1,PGBD1
353,ENSG00000078403,ENSG00000104381,MLLT10,GDAP1
354,ENSG00000078403,ENSG00000197312,MLLT10,DDI2
355,ENSG00000078403,ENSG00000228106,MLLT10,RP11-452F19.3
356,ENSG00000078487,ENSG00000268844,ZCWPW1,AP001187.2
357,ENSG00000078902,ENSG00000117984,TOLLIP,CTSD
358,ENSG00000079263,ENSG00000115109,SP140,EPB41L5
359,ENSG00000079263,ENSG00000143891,SP140,GALM
360,ENSG00000079432,ENSG00000225892,CIC,RP11-384K6.2
361,ENSG00000079432,ENSG00000125122,CIC,LRRC29
362,ENSG00000079432,ENSG00000255320,CIC,RP11-755F10.1
363,ENSG00000079435,ENSG00000125611,LIPE,CHCHD5
364,ENSG00000080822,ENSG00000143889,CLDND1,HNRPLL
365,ENSG00000080845,ENSG00000162148,DLGAP4,PPP1R32
366,ENSG00000081087,ENSG00000111911,OSTM1,HINT3
367,ENSG00000081791,ENSG00000176444,KIAA0141,CLK2
368,ENSG00000082196,ENSG00000012174,C1QTNF3,MBTPS2
369,ENSG00000083223,ENSG00000254317,ZCCHC6,RP11-473O4.5
370,ENSG00000083290,ENSG00000175544,ULK2,CABP4
371,ENSG00000083520,ENSG00000102738,DIS3,MRPS31
372,ENSG00000083520,ENSG00000145675,DIS3,PIK3R1
373,ENSG00000083520,ENSG00000058729,DIS3,RIOK2
374,ENSG00000083520,ENSG00000146143,DIS3,PRIM2
375,ENSG00000083520,ENSG00000006576,DIS3,PHTF2
376,ENSG00000083520,ENSG00000138138,DIS3,ATAD1
377,ENSG00000083807,ENSG00000163449,SLC27A5,TMEM169
378,ENSG00000083807,ENSG00000224543,SLC27A5,AC012318.3
379,ENSG00000083845,ENSG00000117543,RPS5,DPH5
380,ENSG00000083845,ENSG00000169189,RPS5,NSMCE1
381,ENSG00000083845,ENSG00000131143,RPS5,COX4I1
382,ENSG00000084070,ENSG00000088833,SMAP2,NSFL1C
383,ENSG00000084070,ENSG00000157514,SMAP2,TSC22D3
384,ENSG00000084070,ENSG00000185950,SMAP2,IRS2
385,ENSG00000084070,ENSG00000096060,SMAP2,FKBP5
386,ENSG00000084070,ENSG00000131724,SMAP2,IL13RA1
387,ENSG00000084652,ENSG00000136448,TXLNA,NMT1
388,ENSG00000084652,ENSG00000179051,TXLNA,RCC2
389,ENSG00000084652,ENSG00000132128,TXLNA,LRRC41
390,ENSG00000084652,ENSG00000168924,TXLNA,LETM1
391,ENSG00000084693,ENSG00000089327,AGBL5,FXYD5
392,ENSG00000084693,ENSG00000095059,AGBL5,DHPS
393,ENSG00000084693,ENSG00000101417,AGBL5,PXMP4
394,ENSG00000084693,ENSG00000174365,AGBL5,SNHG11
395,ENSG00000084693,ENSG00000116353,AGBL5,MECR
396,ENSG00000084754,ENSG00000163686,HADHA,ABHD6
397,ENSG00000084754,ENSG00000243417,HADHA,RP11-555K12.1
398,ENSG00000085449,ENSG00000135900,WDFY1,MRPL44
399,ENSG00000085514,ENSG00000255989,PILRA,RP11-711M9.1
400,ENSG00000085872,ENSG00000165698,CHERP,C9orf9
401,ENSG00000086062,ENSG00000099940,B4GALT1,SNAP29
402,ENSG00000086065,ENSG00000122643,CHMP5,NT5C3
403,ENSG00000087074,ENSG00000165801,PPP1R15A,ARHGEF40
404,ENSG00000087087,ENSG00000119688,SRRT,ABCD4
405,ENSG00000087087,ENSG00000185049,SRRT,WHSC2
406,ENSG00000087087,ENSG00000132478,SRRT,UNK
407,ENSG00000087087,ENSG00000185513,SRRT,L3MBTL1
408,ENSG00000087087,ENSG00000099974,SRRT,DDTL
409,ENSG00000087087,ENSG00000073060,SRRT,SCARB1
410,ENSG00000087087,ENSG00000234945,SRRT,AC109828.1
411,ENSG00000087087,ENSG00000148840,SRRT,PPRC1
412,ENSG00000087191,ENSG00000180573,PSMC5,HIST1H2AC
413,ENSG00000087191,ENSG00000230795,PSMC5,HLA-K
414,ENSG00000087191,ENSG00000214826,PSMC5,DDX12P
415,ENSG00000087253,ENSG00000104312,LPCAT2,RIPK2
416,ENSG00000087253,ENSG00000261997,LPCAT2,RP11-212I21.4
417,ENSG00000087263,ENSG00000117899,OGFOD1,MESDC2
418,ENSG00000087263,ENSG00000138375,OGFOD1,SMARCAL1
419,ENSG00000087263,ENSG00000198700,OGFOD1,IPO9
420,ENSG00000087365,ENSG00000087008,SF3B2,ACOX3
421,ENSG00000088038,ENSG00000234769,CNOT3,WASH4P
422,ENSG00000088038,ENSG00000244945,CNOT3,RP11-1379J22.2
423,ENSG00000088247,ENSG00000149577,KHSRP,SIDT2
424,ENSG00000088451,ENSG00000150776,TGDS,C11orf57
425,ENSG00000088451,ENSG00000164172,TGDS,MOCS2
426,ENSG00000088812,ENSG00000110917,ATRN,MLEC
427,ENSG00000088833,ENSG00000196209,NSFL1C,SIRPB2
428,ENSG00000089041,ENSG00000261827,P2RX7,RP11-340F14.5
429,ENSG00000089060,ENSG00000183696,SLC24A6,UPP1
430,ENSG00000089060,ENSG00000172890,SLC24A6,NADSYN1
431,ENSG00000089060,ENSG00000061273,SLC24A6,HDAC7
432,ENSG00000089060,ENSG00000070010,SLC24A6,UFD1L
433,ENSG00000089094,ENSG00000141456,KDM2B,PELP1
434,ENSG00000089094,ENSG00000197162,KDM2B,ZNF785
